,tweet_id,follower_count,favourites_of_user_count,retweet_count,favourite_of_post_count
1563,818627210458333184,8709206,144674,7741,22919
1564,697270446429966336,8709217,144674,1887,4729
1565,675372240448454658,8709246,144674,507,1664
1566,783821107061198850,8709208,144674,2025,7566
1567,873213775632977920,8709204,144674,1481,6814
1568,677662372920729601,8709245,144674,953,1941
1569,674800520222154752,8709246,144674,838,2964
1570,678969228704284672,8709245,144674,457,1653
1571,679158373988876288,8709244,144674,8057,21404
1572,680145970311643136,8709244,144674,1748,3643
1573,668955713004314625,8709247,144674,68,270
1574,666407126856765440,8709248,144674,32,100
1575,671544874165002241,8709247,144674,1018,1922
1576,886366144734445568,8709204,144674,2913,19995
1577,875021211251597312,8709204,144674,4381,24182
1578,762699858130116608,8709208,144674,3686,12381
1579,796563435802726400,8709206,144674,7506,22182
1580,668291999406125056,8709247,144674,29,235
1581,838476387338051585,8709205,144674,4815,22732
1582,671550332464455680,8709247,144674,203,888
1583,668631377374486528,8709247,144674,306,691
1584,669583744538451968,8709247,144674,896,1456
1585,697516214579523584,8709217,144674,1122,2074
1586,670803562457407488,8709246,144674,85,333
1587,762035686371364864,8709208,144674,15837,32502
1588,889531135344209921,8709203,144674,2079,14303
1589,669393256313184256,8709247,144674,71,352
1590,681579835668455424,8709244,144674,1309,3575
1591,843235543001513987,8709205,144674,6026,21573
1592,860563773140209665,8709205,144674,2052,7267
1593,746521445350707200,8709212,144674,989,2927
1594,773547596996571136,8709208,144674,6321,22607
1595,822647212903690241,8709205,144674,6553,18537
1596,690607260360429569,8709217,144674,17,294
1597,671504605491109889,8709247,144674,3439,6812
1598,702671118226825216,8709217,144674,558,2212
1599,857214891891077121,8709205,144674,17,219
1600,759793422261743616,8709208,144674,1947,6072
1601,879008229531029506,8709204,144674,2477,17981
1602,778408200802557953,8709208,144674,4452,13968
1603,686386521809772549,8709217,144674,885,3282
1604,683098815881154561,8709243,144674,661,2175
1605,786709082849828864,8709207,144674,6296,18749
1606,847978865427394560,8709205,144674,3238,17406
1607,745314880350101504,8709212,144674,2776,7259
1608,818536468981415936,8709206,144674,2533,11183
1609,666287406224695296,8709248,144674,62,138
